player_name,acceleration,sprint_speed,agility,balance,reactions,ball_control,composure,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick,short_pass,long_pass,pass_curve,interceptions,heading,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,classification
Lionel Messi,92,86,91,95,95,97,97,95,96,85,95,86,75,95,77,95,91,87,94,22,72,34,28,26,69,73,59,48,technical_finishing_attackers
C. Ronaldo dos Santos Aveiro,89,91,87,70,96,94,95,95,94,95,93,87,85,82,84,76,81,77,81,29,89,28,31,23,95,88,79,63,technical_finishing_attackers
Kevin De Bruyne,79,76,79,77,92,92,89,88,83,92,92,82,79,95,94,83,93,91,85,61,55,68,58,51,63,91,75,76,all_rounders_passers
Luis Suárez,87,75,82,83,94,91,85,93,95,86,85,88,85,85,77,85,83,64,87,41,78,63,45,38,69,91,83,88,technical_finishing_attackers
Sergio Ramos García,77,76,79,66,86,85,81,52,60,80,55,67,69,63,66,67,79,73,74,90,92,89,93,92,94,85,83,85,all_rounders_passers
Luka Modric,81,72,94,95,90,94,84,80,72,80,83,77,83,93,86,78,94,88,85,84,55,60,77,74,69,90,58,62,all_rounders_passers
Neymar da Silva Santos Jr.,94,90,96,84,94,95,94,89,87,80,82,84,81,87,79,87,84,78,88,36,62,27,24,33,61,81,49,56,technical_finishing_attackers
Eden Hazard,93,89,95,94,90,94,91,87,84,80,80,80,86,89,81,79,89,83,83,41,61,34,27,22,56,83,66,54,technical_finishing_attackers
Robert Lewandowski,77,79,78,78,91,90,87,92,92,88,84,90,88,78,62,87,84,65,78,39,87,34,43,19,85,78,85,80,technical_finishing_attackers
Toni Kroos,69,66,70,71,90,91,86,79,76,88,93,83,73,86,88,84,93,94,86,82,54,68,83,69,30,76,74,60,all_rounders_passers
Diego Godín,69,69,58,54,86,77,83,49,42,68,43,47,51,52,55,51,80,71,49,88,93,91,90,90,92,66,91,89,all_rounders_passers
Giorgio Chiellini,65,73,54,55,83,57,85,28,33,79,50,45,51,50,59,31,60,60,61,88,84,94,94,90,90,61,88,93,def_ball_winners
Paulo Dybala,88,83,92,85,86,93,84,84,84,82,89,89,87,88,82,89,88,75,89,33,70,23,20,20,76,81,65,48,technical_finishing_attackers
Sergio Agüero,89,80,86,92,90,90,91,93,94,88,82,85,83,84,70,72,82,63,83,24,76,31,20,12,82,77,74,65,technical_finishing_attackers
David Josué Jimenez Silva,70,64,93,90,87,94,93,89,73,71,73,81,76,93,83,76,93,81,82,48,55,58,51,29,65,79,52,56,technical_finishing_attackers
Mats Hummels,62,69,63,60,89,82,92,56,55,72,51,61,69,80,64,53,83,86,65,93,87,89,93,91,68,66,86,69,all_rounders_passers
Harry Kane,68,73,71,71,92,85,90,94,95,88,85,82,91,81,75,68,81,83,78,35,86,57,36,38,78,90,85,76,technical_finishing_attackers
Francisco Román Alarcón Suárez,76,69,87,90,79,96,86,80,86,69,90,65,76,91,75,74,90,84,89,67,55,60,65,51,65,71,59,58,all_rounders_passers
Edinson Cavani,75,77,77,59,92,83,83,94,90,88,79,91,85,78,70,77,79,52,78,48,90,53,45,39,89,93,78,85,technical_finishing_attackers
Antoine Griezmann,89,85,91,80,91,91,87,92,93,80,82,88,74,82,83,76,83,76,85,35,85,60,43,44,91,82,62,69,technical_finishing_attackers
Paul Pogba,71,79,74,64,81,91,88,83,73,91,82,86,82,88,80,82,88,91,84,68,74,67,71,68,85,91,90,78,all_rounders_passers
Sergio Busquets Burgos,42,45,66,52,86,86,89,78,68,61,54,44,60,87,62,68,89,80,66,88,68,91,87,80,66,87,77,86,all_rounders_passers
Philippe Coutinho Correia,90,75,93,94,83,93,85,85,77,84,94,75,70,91,79,87,89,81,92,30,49,56,44,40,59,80,61,55,technical_finishing_attackers
N'Golo Kanté,82,78,82,92,93,80,85,71,65,71,69,56,54,79,68,49,86,81,49,92,54,90,91,85,77,96,76,90,all_rounders_passers
James Rodríguez,76,69,83,76,85,91,88,80,83,87,93,91,81,90,91,86,90,83,90,56,63,53,41,44,54,71,69,64,technical_finishing_attackers
Mohamed Salah,95,91,92,88,92,88,92,91,91,77,83,73,61,83,78,60,83,72,84,56,60,38,43,41,68,85,70,63,technical_finishing_attackers
Christian Eriksen,76,73,79,81,89,92,89,84,80,85,90,76,67,92,88,87,92,87,86,57,52,60,58,22,50,93,58,46,technical_finishing_attackers
Marcelo Vieira da Silva,84,83,86,86,88,93,86,86,67,84,70,54,59,82,91,67,85,76,86,86,75,75,86,87,76,92,78,85,all_rounders_passers
Carlos Henrique Venancio Casimiro,59,66,62,66,85,79,85,70,59,87,80,53,66,78,52,74,86,83,59,88,76,89,91,88,89,87,90,87,all_rounders_passers
Gareth Bale,94,96,82,65,86,86,87,85,86,93,92,85,76,79,88,88,86,80,91,60,85,54,55,52,88,75,81,65,all_rounders_passers
Lorenzo Insigne,95,86,95,94,83,94,83,84,75,75,85,74,61,88,87,77,86,78,88,26,57,52,24,22,54,76,44,34,technical_finishing_attackers
Thiago Emiliano da Silva,70,73,68,68,83,81,82,60,38,72,69,64,61,72,60,64,81,81,61,90,81,89,90,85,91,74,83,76,all_rounders_passers
Alexis Sánchez,87,79,92,87,87,87,86,85,84,85,84,84,77,84,82,78,77,75,80,51,74,38,44,35,88,84,72,80,technical_finishing_attackers
Romelu Lukaku,77,91,60,46,88,74,84,90,89,89,74,79,78,77,79,66,79,74,74,27,89,30,30,30,71,84,95,76,technical_finishing_attackers
Ivan Rakitic,67,59,72,66,77,88,81,79,83,85,91,80,82,86,84,84,88,91,89,76,58,73,75,70,39,85,66,67,all_rounders_passers
Gerard Piqué Bernabeu,49,61,58,36,85,79,87,58,65,63,51,57,70,62,57,43,82,81,58,89,83,92,86,84,74,65,84,72,all_rounders_passers
Samuel Umtiti,71,74,68,66,83,78,83,58,51,84,75,71,61,58,69,62,82,74,73,87,79,91,90,86,90,78,85,81,all_rounders_passers
Jordi Alba Ramos,94,94,91,86,84,85,79,80,74,64,66,60,59,70,88,63,85,74,81,85,70,72,85,86,82,92,61,76,all_rounders_passers
Jan Vertonghen,61,66,61,60,85,77,84,60,56,81,67,52,67,68,68,74,80,75,58,90,80,91,87,89,86,75,80,85,all_rounders_passers
Gonzalo Higuaín,73,73,75,69,86,85,86,92,92,86,80,90,70,74,68,62,75,59,74,20,80,35,22,18,79,70,85,50,technical_finishing_attackers
