player_name,overall,height_(cm),weight_(kg),pace,acceleration,sprint_speed,dribbling,agility,balance,reactions,ball_control,composure,shooting,positioning,finishing,shot_power,long_shots,volleys,penalties,passing,vision,crossing,free_kick,short_pass,long_pass,pass_curve,defending,interceptions,heading,marking,standing_tackle,sliding_tackle,physicality,jumping,stamina,strength,aggression,diving,reflexes,handling,speed,kicking,positoning
Lionel Messi,95,170,72,89,92,86,97,91,95,95,97,97,92,95,96,85,95,86,75,89,95,77,95,91,87,94,33,22,72,34,28,26,62,69,73,59,48,0,0,0,0,0,0
C. Ronaldo dos Santos Aveiro,94,187,83,90,89,91,90,87,70,96,94,95,93,95,94,95,93,87,85,81,82,84,76,81,77,81,35,29,89,28,31,23,79,95,88,79,63,0,0,0,0,0,0
Kevin De Bruyne,92,181,70,78,79,76,88,79,77,92,92,89,87,88,83,92,92,82,79,93,95,94,83,93,91,85,61,61,55,68,58,51,79,63,91,75,76,0,0,0,0,0,0
Luis Suárez,92,182,86,81,87,75,88,82,83,94,91,85,91,93,95,86,85,88,85,80,85,77,85,83,64,87,53,41,78,63,45,38,86,69,91,83,88,0,0,0,0,0,0
Sergio Ramos García,92,184,82,76,77,76,73,79,66,86,85,81,64,52,60,80,55,67,69,72,63,66,67,79,73,74,92,90,92,89,93,92,85,94,85,83,85,0,0,0,0,0,0
Luka Modric,92,172,66,77,81,72,92,94,95,90,94,84,77,80,72,80,83,77,83,91,93,86,78,94,88,85,71,84,55,60,77,74,68,69,90,58,62,0,0,0,0,0,0
Neymar da Silva Santos Jr.,92,175,68,92,94,90,95,96,84,94,95,94,84,89,87,80,82,84,81,83,87,79,87,84,78,88,32,36,62,27,24,33,59,61,81,49,56,0,0,0,0,0,0
David De Gea Quintana,91,193,76,0,57,58,0,60,43,90,42,68,0,12,13,31,12,13,40,0,68,17,19,50,51,21,0,30,21,15,21,13,0,67,43,64,38,90,94,85,57,87,88
Eden Hazard,91,173,74,91,93,89,94,95,94,90,94,91,82,87,84,80,80,80,86,86,89,81,79,89,83,83,35,41,61,34,27,22,67,56,83,66,54,0,0,0,0,0,0
Robert Lewandowski,91,184,80,79,77,79,86,78,78,91,90,87,90,92,92,88,84,90,88,76,78,62,87,84,65,78,42,39,87,34,43,19,83,85,78,85,80,0,0,0,0,0,0
Manuel Neuer,91,193,92,0,55,61,0,51,35,84,48,70,0,12,13,25,16,11,47,0,70,15,11,55,59,14,0,30,25,17,10,11,0,77,43,80,29,92,89,89,55,92,89
Thibaut Courtois,91,199,96,0,47,53,0,61,45,84,23,66,0,13,14,36,17,12,27,0,44,14,20,33,35,19,0,15,13,20,18,16,0,68,38,70,23,88,89,92,47,75,88
Toni Kroos,91,183,76,68,69,66,83,70,71,90,91,86,83,79,76,88,93,83,73,90,86,88,84,93,94,86,75,82,54,68,83,69,70,30,76,74,60,0,0,0,0,0,0
Diego Godín,91,187,78,69,69,69,65,58,54,86,77,83,49,49,42,68,43,47,51,66,52,55,51,80,71,49,90,88,93,91,90,90,85,92,66,91,89,0,0,0,0,0,0
