player_name,acceleration,sprint_speed,agility,balance,reactions,ball_control,composure,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick,short_pass,long_pass,pass_curve,interceptions,heading,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,classification
Lionel Messi,92,86,91,95,95,97,97,95,96,85,95,86,75,95,77,95,91,87,94,22,72,34,28,26,69,73,59,48,1
C. Ronaldo dos Santos Aveiro,89,91,87,70,96,94,95,95,94,95,93,87,85,82,84,76,81,77,81,29,89,28,31,23,95,88,79,63,1
Kevin De Bruyne,79,76,79,77,92,92,89,88,83,92,92,82,79,95,94,83,93,91,85,61,55,68,58,51,63,91,75,76,2
Luis Suárez,87,75,82,83,94,91,85,93,95,86,85,88,85,85,77,85,83,64,87,41,78,63,45,38,69,91,83,88,1
Sergio Ramos García,77,76,79,66,86,85,81,52,60,80,55,67,69,63,66,67,79,73,74,90,92,89,93,92,94,85,83,85,2
Luka Modric,81,72,94,95,90,94,84,80,72,80,83,77,83,93,86,78,94,88,85,84,55,60,77,74,69,90,58,62,2
Neymar da Silva Santos Jr.,94,90,96,84,94,95,94,89,87,80,82,84,81,87,79,87,84,78,88,36,62,27,24,33,61,81,49,56,1
Eden Hazard,93,89,95,94,90,94,91,87,84,80,80,80,86,89,81,79,89,83,83,41,61,34,27,22,56,83,66,54,1
Robert Lewandowski,77,79,78,78,91,90,87,92,92,88,84,90,88,78,62,87,84,65,78,39,87,34,43,19,85,78,85,80,1
Toni Kroos,69,66,70,71,90,91,86,79,76,88,93,83,73,86,88,84,93,94,86,82,54,68,83,69,30,76,74,60,2
Diego Godín,69,69,58,54,86,77,83,49,42,68,43,47,51,52,55,51,80,71,49,88,93,91,90,90,92,66,91,89,2
Giorgio Chiellini,65,73,54,55,83,57,85,28,33,79,50,45,51,50,59,31,60,60,61,88,84,94,94,90,90,61,88,93,3
Paulo Dybala,88,83,92,85,86,93,84,84,84,82,89,89,87,88,82,89,88,75,89,33,70,23,20,20,76,81,65,48,1
Sergio Agüero,89,80,86,92,90,90,91,93,94,88,82,85,83,84,70,72,82,63,83,24,76,31,20,12,82,77,74,65,1
David Josué Jimenez Silva,70,64,93,90,87,94,93,89,73,71,73,81,76,93,83,76,93,81,82,48,55,58,51,29,65,79,52,56,1
Mats Hummels,62,69,63,60,89,82,92,56,55,72,51,61,69,80,64,53,83,86,65,93,87,89,93,91,68,66,86,69,2
Harry Kane,68,73,71,71,92,85,90,94,95,88,85,82,91,81,75,68,81,83,78,35,86,57,36,38,78,90,85,76,1
Francisco Román Alarcón Suárez,76,69,87,90,79,96,86,80,86,69,90,65,76,91,75,74,90,84,89,67,55,60,65,51,65,71,59,58,2
